Date,NTU_12K001_H2S,NTU_12K001_HCL,NTU_AI120201
02/07/2020,0.90,1.00,85.91
03/07/2020,0.90,1.00,87.41
04/07/2020,0.90,1.00,87.24
05/07/2020,0.90,0.94,86.89
06/07/2020,0.90,0.90,87.46
07/07/2020,0.90,0.90,87.65
08/07/2020,0.90,0.90,87.41
09/07/2020,0.90,0.90,87.27
10/07/2020,0.90,0.90,87.24
11/07/2020,0.90,1.38,86.77
12/07/2020,0.64,3.00,85.90
13/07/2020,0.50,3.00,86.13
14/07/2020,0.50,3.00,86.43
15/07/2020,0.50,3.00,86.66
16/07/2020,0.50,3.00,86.46
17/07/2020,0.50,3.00,86.48
18/07/2020,0.50,3.00,85.14
19/07/2020,0.76,3.00,84.97
20/07/2020,0.90,3.00,86.07
21/07/2020,0.90,3.00,87.73
22/07/2020,0.90,3.00,86.58
23/07/2020,0.90,3.00,84.72
24/07/2020,0.90,3.00,84.44
25/07/2020,0.90,3.00,85.95
26/07/2020,0.96,2.35,84.46
27/07/2020,1.00,2.00,85.84
28/07/2020,1.00,2.00,86.70
29/07/2020,1.00,2.00,86.65
30/07/2020,1.00,2.00,85.41
31/07/2020,1.00,2.00,84.92
01/08/2020,1.00,2.00,84.64
02/08/2020,1.00,2.69,84.47
03/08/2020,1.00,5.00,84.34
04/08/2020,1.00,5.00,84.31
05/08/2020,1.00,5.00,86.27
06/08/2020,1.00,5.00,87.48
07/08/2020,1.00,5.00,87.10
08/08/2020,1.00,5.00,86.87
09/08/2020,0.77,4.09,85.68
10/08/2020,0.00,1.00,84.78
11/08/2020,0.00,1.00,88.16
12/08/2020,0.00,1.00,88.68
13/08/2020,0.00,1.00,87.04
14/08/2020,0.00,1.00,87.91
15/08/2020,0.00,1.00,88.34
16/08/2020,0.21,1.23,87.09
17/08/2020,0.90,2.00,85.80
18/08/2020,0.90,2.00,85.97
19/08/2020,0.90,2.00,85.60
20/08/2020,0.90,2.00,86.34
21/08/2020,0.90,2.00,88.08
22/08/2020,0.90,2.00,89.74
23/08/2020,0.90,2.00,89.84
24/08/2020,0.90,2.00,89.14
25/08/2020,0.90,2.00,88.99
26/08/2020,0.90,2.00,88.53
27/08/2020,0.90,2.00,88.06
28/08/2020,0.90,2.00,87.68
29/08/2020,0.90,2.00,87.80
30/08/2020,0.90,2.00,87.84
31/08/2020,0.90,2.00,88.09
01/09/2020,0.90,2.00,87.78
02/09/2020,0.90,2.00,88.05
03/09/2020,0.90,2.00,88.06
04/09/2020,0.90,2.00,89.61
05/09/2020,0.90,2.00,90.63
06/09/2020,0.90,2.00,89.09
07/09/2020,0.90,2.00,88.04
