Date,1-3-BDE,1-Butene,Acetylene,,C2H5SH,,C3-Lighter,,C5-C6 Plus,CH3SH,,cis-2-Butene,Cl,CO,CO2,,COS,CS2,Cu Strip @37.8oC,Density @15C,DES,DMS,Ethane,Ethylene,H2,H2S,i-Butane,"i-Butane,n-Butane",i-Butylene,i-Butyl Mercaptan,i-C3H7SH,i-Pentane,MA,Mercaptan,MES,Methane,N2,n-Butane,N-Butyl Mercaptan,n-Pentane,O2,"Pentane,Heavier",Propadiene,Propane,Propylene,sec-Butyl Mercaptan,SO2,Sp.Gr. @60/60F,Tert-Butyl Mercaptan,Thiophene,Total Cl,Total Cl,trans-2-Butene
9/11/2019 20:00,0.1,0.1,0.1,,,,,,,,,0.1,,0.1,0.1,,,,,,,,6.3,0.1,0.1,,31,56.6,0.5,,,,0.1,,,0.1,0.1,25.6,,,,3.8,0.1,32.2,0.2,,,,,,,,0.1
9/11/2019 20:00,,,,,0.5,,,,,0.5,,,,,,,0.5,0.5,No. 2,,,,,,,1,,,,,,,,0.5,,,,,,,,,,,,,0.5,,,,,,
9/13/2019 20:00,,,,,0.5,,,,,0.5,,,,,,,0.5,0.5,No. 2,,,,,,,0.5,,,,,,,,0.5,,,,,,,,,,,,,0.5,,,,,,
9/16/2019 20:00,,,,,,,,,,,,,,,,,,,No. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/18/2019 20:00,0.1,0.1,0.1,,,,,,,,,0.1,,0.1,0.1,,,,,,,,4.8,0.1,0.1,,33.3,62.1,0.6,,,,0.1,,,0.1,0.1,28.8,,,,0.9,0.1,31,0.2,,,,,,,,0.2
9/18/2019 20:00,,,,,,,,,,,,,,,,,,,No. 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/20/2019 20:00,,,,,,,,,,,,,,,,,,,No. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/23/2019 20:00,,,,,,,,,,,,,,,,,,,No. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/2019 20:00,0.1,0.1,0.1,,,,,,,,,0.1,,0.1,0.1,,,,,,,,0.1,0.1,0.1,,33.1,59.8,0.6,,,,0.1,,,0.1,0.1,26.7,,,,4.3,0.1,34.8,0.2,,,,,,,,0.1
9/25/2019 20:00,,,,,,,,,,,,,,,,,,,No. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/2019 20:00,,,,,,,,,,,,,,,,,,,No. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/2/2019 20:00,0.1,0.1,0.1,,,,,,,,,0.2,,0.1,0.1,,,,,,,,1.2,0.1,0.1,,38.4,78,0.8,,,,0.1,,,0.1,0.1,39.6,,,,3.5,0.1,15.9,0.1,,,,,,,,0.2
10/7/2019 20:00,,,,,,,,,,,,,,,,,,,No. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/9/2019 20:00,0.1,0.1,0.1,,,,,,,,,0.1,,0.1,0.1,,,,,,,,7.4,0.1,0.1,,29.4,49.2,0.7,,,,0.1,,,0.2,0.1,19.8,,,,4.2,0.1,37.7,0.2,,,,,,,,0.2
10/14/2019 20:00,,,,,,,,,,,,,,,,,,,No. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2019 20:00,0.1,0.1,0.1,,,,,,,,,0.1,,0.1,0.1,,,,,,,,5.9,0.1,0.1,,33.7,59.4,0.6,,,,0.1,,,0.1,0.1,25.7,,,,2.7,0.1,30.8,0.2,,,,,,,,0.1
10/21/2019 20:00,,,,,,,,,,,,,,,,,,,No. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
